"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 10:34:51 CST 2023","Mon Jun 26 10:34:54 CST 2023","2763","testsuites.prefixAudit","prefix_audit_pageQuery_auditState_pass_test","TestCasePrefixAuditPagequeryAuditstatePass","","","前缀审核列表-查询状态为通过","TestCase ID: 6c3a47b7-5842-4123-ab7d-c8e7d2b3f502"
"passed","Mon Jun 26 10:32:44 CST 2023","Mon Jun 26 10:32:44 CST 2023","177","testsuites.checkhandle","checkId_format_test","TestCaseCheckidFormat","","","门户查询格式错误的标识信息用例集","TestCase ID: e813d919-dcab-4bd6-9ad5-5c9ae0a5726c"
"passed","Mon Jun 26 10:35:49 CST 2023","Mon Jun 26 10:35:52 CST 2023","3470","testsuites.proxyAudit","proxyserveraudit_test","TestCaseProxyserveraudit","","","托管审核用例集","TestCase ID: 25cba47c-a949-490b-8f06-267ee8aaa9cb"
"passed","Mon Jun 26 10:34:58 CST 2023","Mon Jun 26 10:35:00 CST 2023","1284","testsuites.prefixAudit","prefix_register_test","TestCasePrefixRegister","","","前缀注册提交成功","TestCase ID: 78034551-d22b-4bb0-a750-c206e910d80b"
"passed","Mon Jun 26 10:35:43 CST 2023","Mon Jun 26 10:35:48 CST 2023","4801","testsuites.prefixmanager","prefix_proxy_disable_test","TestCasePrefixProxyDisable","","","前缀管理列表","TestCase ID: 491506c7-c11c-49e0-8358-88c3c5c35910"
"passed","Mon Jun 26 10:32:43 CST 2023","Mon Jun 26 10:32:43 CST 2023","159","testsuites.checkhandle","checkId_exist_test","TestCaseCheckidExist","","","门户查询不存在的标识","TestCase ID: 07e1b4df-4411-40c7-a3c5-5516e1af0754"
"passed","Mon Jun 26 10:36:35 CST 2023","Mon Jun 26 10:36:39 CST 2023","4008","testsuites.template","test_template_download_xml_test","TestCaseTestTemplateDownloadXml","","","xml下载","TestCase ID: 1de23a31-619b-4f4c-9988-b76c35b020a0"
"passed","Mon Jun 26 10:33:00 CST 2023","Mon Jun 26 10:33:00 CST 2023","742","testsuites.entapply","store_wrong_test","TestCaseStoreWrong","","","企业注册信息暂存用例集","TestCase ID: ff9af2be-7889-408d-8fe2-5731b379ea8c"
"passed","Mon Jun 26 10:36:16 CST 2023","Mon Jun 26 10:36:20 CST 2023","3954","testsuites.template","test_template_delete_test","TestCaseTestTemplateDelete","","","数据模板删除","TestCase ID: 2820acf1-e6ff-474a-8a89-741e882e8967"
"passed","Mon Jun 26 10:34:22 CST 2023","Mon Jun 26 10:34:25 CST 2023","2946","testsuites.homepage","ent_register_test","TestCaseEntRegister","","","首页-数据汇总-企业数量","TestCase ID: 0e05a1e6-5126-41bc-9586-5619c18ed278"
